a	一；一个；每一；任一
forever	永远；永恒；长久地；老是；不断地；永远；永恒；永久；永久；永远
forget	忘记；遗忘；忽略；疏忽；忘记带；忘记买；忘记说；忘记；遗忘；忘记；不记得
form	形状；形态；外形；种类；类型；方式；形式；表格；形成；构成；组成；组织；建立
formal	正式的；正规的；合乎礼仪的；拘谨的；形式上的；外表的；正式的；正规的；礼仪上的
formation	形成；构成；组成；结构；编队；队形；形成；构成；组成；构造；编队；队形
former	前者；以前的；从前的；前任的；早先的；过去的；前者；以前的；从前的；前任的
formula	公式；方程式；分子式；配方；处方；方案；公式；方程式；配方；处方；方案；规则
forth	向前；向外；往外；向前；出来；向外；向前；往外；向前；往外；出来；从那时起
fortune	运气；命运；财富；大笔的钱；财产；运气；命运；财富；巨款；大笔钱；命运；时运
forward	向前；前进；未来；将来；向前的；前进的；早的；先；向前；促进；推进；发送；转交
found	创立；创建；建立；创办；建造；铸造；打基础；是find的过去式和过去分词；发现；找到；发觉
foundation	基础；地基；根据；基金会；建立；设立；创办；基础；基金会；地基；根据；基金会
founder	创立者；奠基者；创办人；失败；垮掉；沉没；失败；垮掉；失败；沉没；失败；破产
four	四；四个；第四
fourth	第四；四分之一；第四个；第四的；四分之一的；第四；第四个；四分之一；第四
frame	框架；框；骨架；结构；体格；体形；构架；组织；给…装框；陷害；诬告；建造；构造
framework	框架；构架；结构；体制；体系；框架；构架；组织；体系；体制；框架；结构
free	自由的；无拘束的；免费的；空闲的；自由；使自由；释放；免除；解除；免费；无偿
freedom	自由；自主；自由权；特权；自由；自主；自由权；独立；自由；自主；自由权
freeze	结冰；冻结；冰冻；凝固；冻住；冻僵；惊呆；吓呆；严寒期；结冰；冻结；冻；僵住
French	法国的；法语的；法国人的；法国人；法语；法国的；法国人的；法语的；法国；法语
frequency	频率；次数；频繁；周率；频率；次数；频繁；发生率；频度；频率；次数
frequent	频繁的；时常发生的；经常的；惯常的；时常；常常；频繁地；时常发生地
frequently	频繁地；时常；经常；常常；经常；频繁地；时常；常常；屡次；再三；频繁地
fresh	新鲜的；清新的；新的；新近的；淡的；无经验的；精神饱满的；清新；新鲜；新
friend	朋友；友人；赞助者；支持者；朋友；友人；支持者；赞助者；朋友；友人；好友
friendly	友好的；友善的；亲切的；朋友似的；支持的；赞成的；友好地；友善地；亲切地
friendship	友谊；友情；友好；友好关系；友谊；友情；友好关系；友谊；友情；友好；友好关系
from	从…；从…起；从…来；由于；因为；根据；按照；离；距；从；由；从…起；从…来
front	前面；正面；前方；前线；正面的；前面的；前线的；正面地；向前；前面地；朝向正面；面向
fruit	水果；果实；产物；成果；结果；实；结果实；结果；有成果；收效；水果；果实；成果
frustration	挫折；挫败；失意；沮丧；失败；失意；挫折；沮丧；受挫；挫败；挫折；失望
fuel	燃料；刺激因素；推动力；给…加燃料；刺激；推动；激起；燃烧；补充燃料；燃料
full	满的；充满的；完全的；完整的；全部的；详尽的；丰满的；圆的；充分的；完全的；全部；整个
fully	完全地；充分地；彻底地；全部地；完全地；充分地；彻底地；全部地；完整地；全面地
fun	有趣的；好玩的；逗乐的；娱乐；乐趣；玩笑；嬉戏；有趣的人或事物；玩笑；娱乐；乐趣
function	功能；作用；职能；职责；函数；运行；起作用；行使职责；发挥功能；运转；活动；正常工作
fund	资金；基金；专款；为…提供资金；资助；储备；贮存；积累；资金；基金；专款；基金
fundamental	基本的；根本的；基础的；重要的；基本原理；根本原则；基础；基本；根本性的；基础的
funding	资金；提供资金；拨款；资助；资金；经费；提供资金；资助；拨款；经费；资金；融资
funeral	葬礼；丧礼；出殡；送葬；葬礼的；出殡的；丧葬的；葬礼；丧礼；葬礼；丧礼；出殡
funny	有趣的；滑稽的；奇怪的；稀奇的；不寻常的；有病的；不舒服的；有趣的；滑稽的；古怪的
furniture	家具；设备；装置；家具；家具；设备；装置；家具；家具；家具；设备
furthermore	而且；此外；再者；另外；而且；此外；再者；另外；而且；此外；而且；另外
future	将来；未来；前途；前景；期货；将来的；未来的；将来；未来；前途；前景；未来
gain	获得；取得；赢得；增加；增进；获利；获益；增加；获得；收益；利润；增进；增加
galaxy	星系；银河系；银河；一群出色的人；一批引人注目的东西；星系；银河系；银河；星系群
gallery	美术馆；画廊；长廊；走廊；楼厅；旁听席；顶层楼座；观众；美术陈列馆；画廊；美术馆
game	游戏；玩耍；比赛；运动会；猎物；野味；勇敢的；有胆量的；愿意的；心甘情愿的；游戏；比赛；运动
gang	一帮；一伙；一群；一组；一套；结成一伙；联合起来；一帮；一伙；一群；一帮人；一伙人
gap	缺口；裂口；间隙；差距；分歧；空白；间隔；缺口；裂口；差距；分歧；缝隙；间隔
garage	车库；汽车修理厂；加油站；把…送入车库；把…存入车库；车库；汽车修理厂；加油站
garden	花园；菜园；果园；公园；园圃；从事园艺；种植花木；花园；果园；菜园；公园；园圃
garlic	蒜；大蒜；蒜头；蒜；大蒜；蒜头；大蒜；大蒜；蒜头；蒜；蒜头；大蒜
gas	气体；煤气；天然气；汽油；毒气；给…加油；给…充气；毒气攻击；空谈；吹牛；瞎扯；气体；煤气
gate	大门；门；城门；登机门；检票口；水闸；闸门；门口；门；大门；城门；登机门
gather	聚集；集合；收集；采集；积聚；积累；逐渐增加；收缩；皱缩；推测；推断；收集；聚集
gay	同性恋的；快乐的；愉快的；轻松的；华丽的；同性恋者；同性恋的；快乐的；愉快的；同性恋者
gaze	凝视；注视；盯；凝视；注视；端详；注视；凝视；凝视；注视；盯着看；凝视；端详
gear	齿轮；传动装置；设备；装备；工具；用具；调整；换挡；调节；适应；准备；使适合；齿轮；设备
gender	性；性别；（语法中的）性；性别；性；性别；（语法）性；性；性别；（语法中的）性
gene	基因；遗传因子；基因；遗传因子；基因；基因；遗传因子；基因；遗传因子；基因；遗传因子
general	一般的；普遍的；总的；全体的；大致的；笼统的；将军；上将；一般；普通；一般；普遍
generally	通常；一般地；普遍地；广泛地；通常；一般来说；一般地；普遍地；广泛地；通常；一般
generate	产生；发生；生成；引起；导致；创造；生产；产生；发生；生成；引起；导致；创造；生产
generation	一代；一代人；世代；产生；发生；生成；一代；一代人；世代；产生；发生；一代人；一代
genetic	基因的；遗传的；遗传学的；起源的；发生的；基因的；遗传的；遗传学的；遗传；基因
gentleman	先生；绅士；君子；彬彬有礼的人；有教养的人；先生；绅士；君子；绅士；先生；阁下
gently	温柔地；温和地；轻轻地；渐渐地；温柔地；温和地；轻柔地；轻轻地；温和地；温柔地；轻柔
German	德国的；德语的；德国人的；德国人；德语；德国的；德国人的；德语的；德国；德语；德国人
gesture	手势；姿势；姿态；表示；做手势；用动作示意；做姿势；打手势；手势；姿势；姿态；表示
get	得到；获得；收到；接到；使得；变得；到达；变得；成为；得到；获得；买；购买
ghost	鬼；幽灵；灵魂；微量；一点；隐约的痕迹；一点点；萦绕；作祟；隐约出现；幽灵般地出现；鬼；幽灵
giant	巨人；巨物；巨大的；特大的；伟人；卓越人物；巨大的；特大的；巨型的；巨大的；巨人
gift	礼物；赠品；天赋；才能；天才；赠送；赋予；礼物；赠品；天赋；才能；天才；赠品
gifted	有天赋的；有天才的；天资聪慧的；有天赋的；有天才的；聪慧的；有才华的；天资高的
girl	女孩；姑娘；少女；女儿；女朋友；女仆；女职员；女孩；姑娘；少女；女儿；姑娘；女孩
girlfriend	女朋友；情人；女性朋友；女友；女朋友；情人；女朋友；女友；女朋友；女友；女朋友
give	给；给予；赠送；付出；做出；提供；生产；举行；举办；产生；发生；让步；弯曲；塌下
given	规定的；特定的；假设的；已知的；考虑到；鉴于；假设的；假定的；已知的；给予的；赠送的；give的过去分词
glad	高兴的；愉快的；乐意的；情愿的；乐意；愿意；高兴；愉快；乐意；情愿；高兴的；愉快的
glance	一瞥；扫视；匆匆一看；浏览；简略提及；提及；一瞥；扫视；匆匆一看；浏览；闪光；闪烁
glass	玻璃；玻璃杯；一杯之量；镜子；眼镜；望远镜；玻璃制品；给…装玻璃；用玻璃覆盖；玻璃；玻璃杯
global	全球的；全世界的；整体的；全面的；全局的；全球的；全世界的；全球的；全球性的；全球
glove	手套；拳击手套；给…戴手套；手套；拳击手套；手套；手套；手套；手套；手套
go	去；走；离开；出发；进行；运行；变成；处于…状态；运转；运转；去；走；离开；去；进行
goal	目标；目的；终点；目的地；球门；进球得分；目标；目的；终点；球门；进球；得分；目标
God	上帝；天主；造物主；被极度崇敬的人或物；偶像；神；上帝；天主；造物主；神；上帝；天主
gold	金；黄金；金色；金色的；金制的；金；黄金；金色；金；黄金；金色；金；黄金；金色
golden	金色的；金黄色的；金的；金制的；珍贵的；幸运的；特别的；金的；金色的；珍贵的；珍贵的
golf	高尔夫球；高尔夫球运动；打高尔夫球；高尔夫球；高尔夫球运动；高尔夫；高尔夫球；打高尔夫球
good	好的；优良的；愉快的；新鲜的；好心的；慈善的；好；好处；利益；擅长；能干
government	政府；内阁；政体；治理；管理；统治；政府；内阁；政体；管理；统治；政府；政府机关
governor	州长；总督；省长；董事；主管；理事；调速器；节速器；州长；总督；省长；董事；主管
grab	抓取；攫取；夺取；抢夺；匆忙抓住；匆忙地吃；匆忙地喝；抓取；攫取；抢夺；夺取；匆忙吃
grade	等级；年级；级别；分数；成绩；阶段；程度；把…分等级；给…评分；对…分类；分级；评分
gradually	逐渐地；渐渐地；逐步地；逐步地；逐渐地；渐渐地；逐步地；逐渐地；渐渐地；逐步；逐渐
graduate	毕业生；大学毕业生；研究生；毕业；授予学位；毕业于；得学位；毕业的；研究生的；毕业；毕业生
grain	谷物；粮食；颗粒；细粒；少量；一点儿；纹理；花纹；谷物；粮食；颗粒；细粒；谷物；谷粒
grand	宏伟的；壮丽的；盛大的；豪华的；自负的；骄傲的；一千美元；大钢琴；宏大的；宏伟的；壮丽的
grandfather	祖父；外祖父；爷爷；外公；祖父；外祖父；爷爷；外公；爷爷；姥爷；祖父；外祖父
grandmother	祖母；外祖母；奶奶；外婆；祖母；外祖母；奶奶；外婆；奶奶；姥姥；祖母；外祖母
grant	授予；给予；同意；准许；承认；授予；拨款；授予物；同意；准予；授予；拨款；同意
grass	草；草地；草坪；牧场；告密者；告发者；草；草地；草坪；草；草地；牧场
grave	严肃的；严重的；重大的；严肃的；庄重的；坟墓；墓穴；死亡；埋葬；严重；重大
gray	灰色的；灰色的；阴暗的；忧郁的；灰色；变灰色；灰色；灰色的；灰色；灰色；灰色
great	伟大的；杰出的；极大的；非常的；重大的；主要的；伟大的人；大人物；非常；大大地；伟大
greatest	最伟大的；最好的；最大的；最佳的；最优秀的；最大；最好；最伟大；最优秀；最伟大
green	绿色的；青春的；未熟的；新鲜的；绿色；绿色；草地；绿化；变绿；使绿色；绿色；绿色
grocery	食品杂货店；杂货；食品杂货店；食品杂货；食品杂货；杂货店；食品杂货；食品杂货
ground	地面；土地；场地；理由；根据；基础；使停飞；使搁浅；禁止；理由；根据；地面
group	组；群；团体；集团；类；型；分组；聚集；群集；组；群；团体；集团；小组
grow	生长；成长；发育；增长；变得；种植；栽种；发展；扩大；生长；成长；增长
growing	成长的；发展的；增长的；生长的；成长；发展；增长；发展；成长；增长；增加
growth	生长；成长；增长；发展；发育；生长；增长；发展；成长；增长；增加；发展
guarantee	保证；担保；保证书；担保物；保证人；保证；担保；确保；保证；担保；保证书
guard	守卫；警戒；警卫；看守；防范；提防；守卫者；看守者；卫兵；看守；守卫；警戒
guess	猜测；推测；猜想；认为；估计；猜测；推测；猜想；猜测；估计；猜；猜中
guest	客人；宾客；旅客；特邀嘉宾；特邀演员；客人；宾客；旅客；客人；来宾；访客
guide	指导；引导；导游；向导；指南；手册；引导；指引；指导；导游；向导；引导
guideline	指南；指导方针；准则；指导原则；指导路线；指南；指导方针；准则；指导；指引
guilty	有罪的；内疚的；自知有过的；有罪的；内疚的；犯罪的；有罪的；内疚的；有过错
gun	枪；炮；枪状物；用枪射击；枪杀；给…装弹药；射击；枪；炮；枪；炮；手枪
guy	家伙；人；小伙子；用支索固定；支索；牵索；拉索；家伙；人；伙计；老兄；小伙子
habit	习惯；习性；癖好；气质；性情；习惯；习性；癖好；习惯；习性；惯常行为
habitat	栖息地；产地；住处；栖息环境；栖息地；产地；住处；栖息地；生长环境；栖息地
hair	头发；毛发；汗毛；发型；毛发；毛；头发；毛发；毛；头发；毛发；汗毛
half	一半；半数；半场；半；一半的；半数的；部分的；不完全的；到一半程度；部分地；一半；半数
hall	大厅；礼堂；门厅；走廊；过道；厅；会堂；大厅；礼堂；门厅；走廊；过道
hand	手；指针；人手；帮助；方面；方面；交；递；给；传递；手；指针；帮助
handful	一把；少数；少量；一小撮；少数人；一把；少数；少量；一小撮；少数；少数几个
handle	把手；柄；拉手；处理；应付；控制；操纵；操作；经营；管理；把手；柄；处理；应付
hang	悬挂；垂下；吊死；绞死；悬垂；悬挂；悬挂；垂下；吊；悬挂；挂；垂
happen	发生；碰巧；偶然发现；发生；出现；偶然；碰巧；发生；碰巧；发生；出现
happy	快乐的；幸福的；满意的；愉快的；高兴的；乐意的；快乐的；幸福的；满意的；高兴的
hard	硬的；坚硬的；困难的；艰难的；辛苦的；猛烈的；努力地；辛苦地；猛烈地；硬的；困难的
hardly	几乎不；简直不；刚刚；才；几乎不；简直不；几乎没有；刚刚；才；几乎不；简直不
hat	帽子；帽子；礼帽；便帽；给…戴帽子；帽子；帽子；礼帽；便帽；帽
hate	憎恨；厌恶；讨厌；不愿；不想；恨；憎恨；厌恶；仇恨；憎恶；讨厌；不愿
have	有；拥有；进行；从事；经受；经历；吃；喝；抽；吸；有；拥有；具有；有
he	他；（泛指）人；无论谁；他；它；他；他；他；他；他；他；他；他
head	头；头部；首；首领；首脑；头脑；智慧；领导；主管；领头；在前面；向；朝
headline	大标题；头版头条新闻；给…加标题；成为头条新闻；标题；头条新闻；大标题；头条
headquarters	总部；司令部；总公司；总店；指挥部；总部；司令部；总部；总公司；总司令部
health	健康；卫生；健康状况；卫生情况；健康；卫生；健康状况；卫生；健康；卫生
healthy	健康的；健壮的；有益健康的；卫生的；健康的；健壮的；有益健康的；健康；健康的
hear	听见；听到；听说；得知；听取；听证；听；听见；听到；听说；得知；听；听见
hearing	听力；听觉；听；倾听；审讯；听证；听；倾听；听力；听觉；听；听证会
heart	心；心脏；内心；心肠；勇气；精神；心形物；核心；中心；心；心脏；内心
heat	热；热度；高温；热量；加热；变热；加剧；激动；热；热度；加热；变热；激动
heaven	天堂；天国；天空；极乐；极乐世界；天堂；天国；天空；极乐；天堂；天国
heavily	沉重地；大量地；猛烈地；密集地；沉重地；大量地；猛烈地；严重地；大大地；重重地
heavy	重的；沉重的；大量的；严重的；剧烈的；繁重的；沉重；繁重；重；重的；大量的
heel	脚跟；后跟；鞋跟；袜跟；跟；给…装跟；倾斜；倾侧；脚后跟；鞋跟；后跟
height	高度；身高；高；高处；高位；顶点；最高点；高度；身高；高；高度；身高；高
helicopter	直升机；直升飞机；直升机；直升飞机；直升机；直升飞机；直升机；直升机；直升机
hell	地狱；阴间；苦难；困境；该死；见鬼；地狱；阴间；苦难；地狱；阴间；苦境
hello	喂；你好；打招呼；问候；喂；你好；打招呼；问候；喂；哈罗；你好；喂
help	帮助；协助；援助；帮助；促进；有助于；有用；帮助；协助；援助；帮手；帮助；协助
helpful	有帮助的；有益的；有用的；愿意帮忙的；有帮助的；有用的；有益的；有帮助的；有帮助的
her	她；她的；（she的宾格）她；（she的所有格）她的；她；她的；她；她的；她；她的
here	这里；这儿；这时；现在；在这儿；到这儿；喂；嘿；这里；这儿；在这里；到这里
heritage	遗产；传统；继承物；文化遗产；传统；遗产；文化遗产；传统；遗产；继承物；文化遗产
hero	英雄；男主角；主人公；英雄人物；偶像；英雄；男主角；主人公；英雄；英雄人物；英雄
herself	她自己；她本人；她自己；她本人；她自己；她本人；她自己；她本人；她自己；她自己
hey	嘿；喂；嗨；嘿；喂；嗨；嘿；喂；嗨；嘿；喂；嗨；嘿；喂
hi	嗨；你好；喂；嗨；你好；喂；嗨；你好；喂；嗨；你好；喂；嗨
hide	隐藏；隐瞒；躲藏；躲避；皮革；兽皮；隐藏；隐瞒；躲藏；躲避；隐藏；躲藏；隐瞒
high	高的；高度的；高级的；重要的；高音；高峰；高；高度；高地；高处；高的；高级的
highlight	强调；突出；高光；最精彩的部分；加亮；突出显示；强调；突出；最精彩部分；亮点；突出
highly	高度地；非常；极其；赞许地；高度地；非常；极其；高度；非常；极其；高度地
highway	公路；大路；主要道路；高速公路；公路；大路；主要道路；公路；大路；高速公路
hill	小山；山岗；丘陵；斜坡；小山；山岗；丘陵；小山；山岗；丘陵；小山；山岗
him	他；（he的宾格）他；他；他；他；他；他；他；他；他；他；他；他
himself	他自己；他本人；他自己；他本人；他自己；他本人；他自己；他本人；他自己；他自己
hip	臀部；髋；时髦的；赶时髦的；臀部；髋；髋关节；臀部；髋；时髦的；赶时髦的
hire	雇用；租用；租金；工钱；雇用；租用；雇用；租用；雇用；租赁；租用；雇用
his	他的；（he的所有格）他的；（泛指）人的；他的；他的；他的；他的；他的；他的
historian	历史学家；史学家；历史学家；史学家；历史学家；史学家；历史学家；史学家；历史学家；史学家
historic	历史上有名的；有历史意义的；历史性的；历史上著名的；历史性的；历史意义的
historical	历史的；有关历史的；史学的；历史的；历史上的；历史的；历史的；历史上的
history	历史；历史学；历史记录；来历；历史；历史；历史学；历史；历史记录；历史记载
hit	打；击；击中；撞击；碰撞；袭击；成功；风行一时的事物；打；击；击中；撞击；碰撞
hold	拿着；握住；持有；拥有；举行；保持；容纳；坚持；握住；抓住；举行；保持；容纳
hole	洞；孔；洞穴；漏洞；缺陷；困境；打洞；穿孔；洞；孔；洞穴；漏洞；缺陷
holiday	假日；节日；假期；休假；假日；节日；假期；假日；节日；假期；休假；假期
holy	神圣的；圣洁的；虔诚的；神圣的；圣洁的；神圣；圣洁；神圣的；圣洁的；神圣的
home	家；家庭；家乡；故乡；住宅；住所；在家；回家；到家；家；家庭；家乡；故乡
homeless	无家可归的；无家可归者；无家可归的；无家可归者；无家可归的；无家可归者
honest	诚实的；正直的；坦率的；真诚的；诚实的；正直的；坦率的；诚实的；正直的；老实的
honey	蜂蜜；宝贝儿；亲爱的；蜂蜜；蜜；蜜糖；蜂蜜；宝贝；亲爱的；甜心；宝贝
honor	荣誉；光荣；信誉；敬意；尊重；尊敬；使荣誉；崇敬；荣誉；光荣；信誉；荣誉；敬意
hope	希望；期望；愿望；希望；盼望；期待；希望；希望；期望；希望；盼望；希望
horizon	地平线；范围；眼界；见识；地平线；范围；眼界；见识；地平线；眼界；视野
horror	恐怖；惊骇；憎恶；讨厌；恐怖故事；恐怖电影；恐怖；惊骇；恐怖；恐怖；恐怖
horse	马；骑兵；马；马；马；马；马；马；马；马；马；马；马；马
hospital	医院；医院；医院；医院；医院；医院；医院；医院；医院；医院；医院
host	主人；东道主；主持人；节目主持人；主办；主持；主人；东道主；主持人；主人；东道主
hot	热的；烫的；辣的；辛辣的；热情的；激动的；热门的；走红的；热；热的；辣的
hotel	旅馆；酒店；宾馆；饭店；旅馆；酒店；宾馆；饭店；旅馆；酒店；宾馆；饭店
hour	小时；钟点；时刻；时间；小时；小时；钟头；小时；钟头；小时；小时；时间
house	房子；住宅；房屋；机构；家庭；家族；给…提供住房；容纳；房子；住宅；房屋；机构
household	家庭；户；一家人；家庭的；家用的；家庭；户；一家人；家庭的；家用的；家庭
housing	房屋；住宅；住房供给；外壳；外罩；房屋；住宅；住房供给；外壳；房屋；住房；住宅
how	怎样；怎么；多少；多么；无论如何；怎样；怎么；如何；怎么样；如何；怎样；怎么
however	然而；不过；可是；不管怎样；无论如何；然而；不过；可是；不管怎样；无论如何；然而
huge	巨大的；庞大的；极大的；非常大的；巨大的；庞大的；极大的；巨大的；庞大的；巨大的
human	人的；人类的；有人性的；人类；人；人的；人类的；人类；人；人的；人类的
humor	幽默；幽默感；幽默；诙谐；幽默感；幽默；幽默；诙谐；幽默感；幽默；诙谐
hundred	一百；一百个；百；百个；百；一百；一百个；百；百个；百；百；一百个
hungry	饥饿的；渴望的；渴望得到的；饥饿的；饿的；渴望的；饥饿的；渴望的；饥饿；渴望
hunter	猎人；猎手；猎食者；搜寻者；寻找者；猎人；猎手；猎人；猎手；搜寻者；寻找者
hunting	打猎；狩猎；搜索；寻找；打猎；狩猎；搜索；寻找；打猎；狩猎；打猎；狩猎
hurt	伤害；损害；使受伤；使疼痛；感到疼痛；危害；伤害；损害；伤害；痛苦；危害
husband	丈夫；节俭地使用；节约；丈夫；丈夫；丈夫；丈夫；丈夫；丈夫；丈夫；丈夫
hypothesis	假说；假设；前提；假设；假说；假设；假说；假设；假说；假设；假说；假设
I	我；我；我；我；我；我；我；我；我；我；我；我
ice	冰；冰块；冰激凌；冰冻；冰制食品；冰；冰块；冰；冰；冰；冰块；冰
idea	想法；主意；概念；观念；思想；概念；想法；主意；概念；观念；想法；主意
ideal	理想的；完美的；理想；典范；完美典型；空想的；不切实际的；理想的；完美的；理想
identification	识别；鉴定；身份证明；认出；识别；身份证明；鉴定；识别；鉴定；识别；身份证明
identify	识别；鉴定；认出；确定；认同；识别；鉴定；认出；确定；识别；鉴定；确定
identity	身份；同一性；一致；身份；同一性；一致；身份；同一性；身份；一致性；身份
ie	也就是；即；也就是；即；也就是；即；也就是；即；也就是；即；也就是；即；也就是
if	如果；假如；是否；要是；即使；虽然；如果；假如；是否；要是；如果；假如；是否
ignore	忽视；不理睬；不顾；忽略；忽视；不理睬；不顾；忽略；忽视；不理睬；忽视；忽略
ill	病的；有病的；不健康的；坏的；糟糕的；疾病；问题；坏的；糟糕的；有病的；生病的
illegal	非法的；违法的；不合法的；非法移民；不合法的；违法的；非法的；不合法的；违法的
illness	病；疾病；身体不适；病；疾病；病；疾病；身体不适；病；疾病；病；疾病
illustrate	说明；阐明；举例说明；给…作插图说明；说明；阐明；举例说明；图解；例证；说明
image	形象；图像；影像；映像；肖像；形象；图像；影像；映像；形象；图像；影像
imagination	想象；想象力；空想；幻觉；想象；想象力；想象力；想象；空想；想象力；想象
imagine	想象；设想；料想；认为；想象；设想；料想；想象；设想；料想；想象；猜想
immediate	立即的；即时的；直接的；最接近的；立即的；即时的；直接的；立即；即时；立即的
immediately	立即；马上；即刻；直接地；紧接着；立即；马上；即刻；立刻；立即；马上；立刻
immigrant	移民；侨民；移民的；侨民的；移民；侨民；移民；侨民；移民；移民；侨民
immigration	移民；移居；移民局；入境检查；移民；移居；移民；移民入境；移民入境；移民
impact	影响；作用；冲击力；撞击；影响；作用；冲击；碰撞；影响；作用；冲击；撞击
implement	实施；执行；贯彻；工具；器具；用具；实施；执行；贯彻；实现；履行；完成
implication	含义；暗示；牵连；影响；含义；暗示；暗示；含义；牵连；影响；含义；暗示
imply	暗示；意指；意味着；暗示；意指；意味着；暗示；意指；意味着；暗示；意指；意味着
importance	重要性；重大；重要；重要性；重大；重要；重要性；重要；重要性；重要；重要性
important	重要的；重大的；有权力的；有地位的；重要的；重大的；重要；重要的；重大的；重要的
impose	强加；强迫；征收；实施；施加；把…强加于；征收；施加；强迫接受；强加于
impossible	不可能的；做不到的；难以忍受的；不可能；不可能的；不可能的；不可能；不可能的
impress	给…深刻印象；使铭记；盖印；压印；印象；印记；给…深刻印象；使铭记；印象；印记
impression	印象；感想；印记；压痕；看法；想法；印象；感想；印记；压痕；印象；感想；看法
impressive	给人深刻印象的；感人的；了不起的；给人深刻印象的；感人的；印象深刻的；令人印象深刻的
improve	改进；改善；增进；提高；改进；改善；提高；改进；改善；提高；改进；改善
improvement	改进；改善；增进；改进处；改进的事物；改进；改善；增进；改进处；改进；改善；提高
in	在…里；在…中；在…期间；在…方面；在…之内；进入；入；在家；在里面；在里面
incentive	刺激；激励；动机；诱因；刺激；激励；动机；诱因；刺激；激励；动机；刺激；诱因
incident	事件；事变；小事；插曲；易发生的；附带的；事件；事变；小事；插曲；事件；事变
include	包括；包含；算入；把…计算在内；包括；包含；包括；包含；包括；包含；包括
including	包括；包含；包括；包含；包括；包含；包括；包含；包括；包含；包括；包含
income	收入；所得；收益；收入；所得；收益；收入；所得；收益；收入；所得；收益
incorporate	合并；并入；包含；吸收；把…合并；使加入；合并；并入；包含；吸收；合并；并入
increase	增加；增长；增强；增加；增长；增多；增加；增长；增强；增加；增长；增多
increased	增加的；增长的；增加；增长；增加的；增长的；增加；增长；增加的；增长的；增加了
increasing	增加的；增长的；越来越多的；增加；增长；越来越多的；增加的；增长的；越来越多的
increasingly	越来越多地；日益；愈加；越来越多地；日益；愈加；越来越；越来越多地；日益；愈加
incredible	难以置信的；惊人的；不可思议的；极好的；难以置信的；惊人的；不可思议的；惊人的；难以置信的
indeed	确实；的确；真正地；当然；确实；的确；真正地；当然；确实；的确；真正地；当然
independence	独立；自主；独立；自主；独立；自主；独立；自主；独立；自主；独立；自主
independent	独立的；自主的；自治的；独立的；自主的；独立的；自主的；独立的；自主的；独立；自主
index	索引；指数；指标；索引；指数；指标；索引；指数；指标；索引；指数；指标
Indian	印度的；印第安人的；印度人；印第安人；印度的；印第安人的；印度人；印第安人
indicate	指示；指出；表明；显示；象征；暗示；指示；指出；表明；显示；指示；指出；表明
indication	指示；指出；表明；象征；迹象；暗示；指示；指出；表明；迹象；指示；指出；表明
individual	个人的；个体的；单独的；独特的；个人；个体；个人的；个体的；个人；个体；单独的
industrial	工业的；产业的；工业的；产业的；工业的；产业的；工业的；产业的；工业的；产业的
industry	工业；产业；行业；勤奋；勤劳；工业；产业；行业；工业；产业；行业；工业；产业
infant	婴儿；幼儿；婴儿的；幼稚的；初期的；婴儿；幼儿；婴儿的；初期的；婴儿；幼儿
infection	感染；传染；传染病；感染；传染；传染病；感染；传染；传染病；感染；传染
inflation	通货膨胀；通胀；膨胀；通货膨胀；通胀；膨胀；通货膨胀；通胀；膨胀；通货膨胀；通胀
influence	影响；势力；影响力；感化；有影响的人或事物；影响；感化；影响；势力；影响力
inform	通知；告知；报告；告发；告密；通知；告知；报告；通知；告知；告诉；通知；告知
information	信息；情报；资料；消息；通知；信息；情报；资料；消息；信息；情报；资料；信息
ingredient	成分；原料；配料；要素；因素；成分；原料；配料；要素；成分；原料；配料；要素
initial	最初的；开始的；首字母；初始的；最初的；开始的；首字母；最初的；开始的；初始
initially	最初；开始；起初；最初；开始；起初；最初；开始；起初；最初；开始；起初
initiative	主动性；积极性；首创精神；倡议；新方案；创始；发起；主动性；积极性；首创精神；倡议
injury	伤害；损伤；损害；伤害；损伤；损害；伤害；损伤；损害；伤害；损伤；损害
inner	内部的；里面的；内心的；精神的；内部；里面；内部的；里面的；内心的；内部；里面
innocent	无辜的；清白的；无罪的；天真的；幼稚的；无辜者；无罪的；无辜的；清白的；无罪；天真
inquiry	询问；调查；探究；询问；调查；探究；询问；调查；探究；询问；调查；探究；询问
inside	里面；内部；内侧；里面的；内部的；在里面；在内部；里面；内部；里面的；内部的
insight	洞察力；领悟；洞悉；见解；洞察力；领悟；洞悉；见解；洞察力；领悟；洞悉；见解
insist	坚持；坚决要求；坚持认为；坚持；坚决要求；坚持认为；坚持；坚决要求；坚持；坚持；坚决要求
inspire	鼓舞；激励；启示；启发；激发；激起；鼓舞；激励；启示；启发；激发；激励；启发
install	安装；设置；安顿；安置；正式任命；使就职；安装；设置；安顿；安置；安装；设置；安顿
instance	例子；实例；事例；例子；实例；事例；例子；实例；事例；例子；实例；事例；例子
instead	代替；顶替；反而；却；代替；顶替；反而；却；代替；顶替；反而；代替；作为替代
institution	机构；制度；习俗；建立；设立；机构；制度；习俗；机构；制度；习俗；机构；制度
institutional	制度的；机构的；惯例的；制度上的；学会的；机构的；制度的；惯例的；制度上的
instruction	指示；命令；指令；用法说明；教学；指导；指示；命令；指令；用法说明；教学；指导
instructor	教师；教员；讲师；教练；指导者；教师；教员；讲师；教练；教师；教员；讲师
